len, loss, latency, variance, mss, elapsed, bps, window
102400 , 0 , 50 , 5 , 25 , 7.735577 , 105900.30969894036 , 64
102400 , 0 , 50 , 5 , 50 , 3.76877 , 217365.34731490645 , 64
102400 , 0 , 50 , 5 , 75 , 2.573923 , 318269.0391282101 , 64
102400 , 0 , 50 , 5 , 100 , 1.970469 , 415738.5881229291 , 64
102400 , 5 , 50 , 5 , 25 , 15.277609 , 53620.956001688486 , 64
102400 , 5 , 50 , 5 , 50 , 8.050832 , 101753.4585245351 , 64
102400 , 5 , 50 , 5 , 75 , 5.898108 , 138891.99723029826 , 64
102400 , 5 , 50 , 5 , 100 , 3.808365 , 215105.43238371323 , 64
102400 , 10 , 50 , 5 , 25 , 20.790963 , 39401.73430158093 , 64
102400 , 10 , 50 , 5 , 50 , 10.891907 , 75211.80634392123 , 64
102400 , 10 , 50 , 5 , 75 , 6.893279 , 118840.3951153 , 64
102400 , 10 , 50 , 5 , 100 , 5.198042 , 157597.80317281006 , 64
102400 , 0 , 100 , 5 , 25 , 13.867571 , 59073.070547105905 , 64
102400 , 0 , 100 , 5 , 50 , 6.996034 , 117094.9140613096 , 64
102400 , 0 , 100 , 5 , 75 , 4.767222 , 171840.11988533364 , 64
102400 , 0 , 100 , 5 , 100 , 3.51538 , 233033.1287087029 , 64
102400 , 5 , 100 , 5 , 25 , 30.228447 , 27100.30058772123 , 64
102400 , 5 , 100 , 5 , 50 , 15.509162 , 52820.390940529214 , 64
102400 , 5 , 100 , 5 , 75 , 9.895918 , 82781.6075274674 , 64
102400 , 5 , 100 , 5 , 100 , 6.829133 , 119956.66214144607 , 64
102400 , 10 , 100 , 5 , 25 , 36.778522 , 22273.869515474275 , 64
102400 , 10 , 100 , 5 , 50 , 19.646193 , 41697.64595105016 , 64
102400 , 10 , 100 , 5 , 75 , 14.070306 , 58221.90363166231 , 64
102400 , 10 , 100 , 5 , 100 , 9.99256 , 81980.99385943143 , 64
102400 , 0 , 150 , 5 , 25 , 20.233381 , 40487.54876903667 , 64
102400 , 0 , 150 , 5 , 50 , 10.2177 , 80174.59898020102 , 64
102400 , 0 , 150 , 5 , 75 , 7.308378 , 112090.53499969486 , 64
102400 , 0 , 150 , 5 , 100 , 5.377562 , 152336.69086474503 , 64
102400 , 5 , 150 , 5 , 25 , 43.967611 , 18631.897011643414 , 64
102400 , 5 , 150 , 5 , 50 , 20.190069 , 40574.403188022785 , 64
102400 , 5 , 150 , 5 , 75 , 14.876451 , 55066.89733996368 , 64
102400 , 5 , 150 , 5 , 100 , 11.516762 , 71131.10438506934 , 64
102400 , 10 , 150 , 5 , 25 , 56.636639 , 14464.135133442505 , 64
102400 , 10 , 150 , 5 , 50 , 28.82428 , 28420.48439718182 , 64
102400 , 10 , 150 , 5 , 75 , 19.941455 , 41080.25216815924 , 64
102400 , 10 , 150 , 5 , 100 , 14.45102 , 56688.04001378449 , 64
102400 , 0 , 200 , 5 , 25 , 26.677224 , 30707.842765049318 , 64
102400 , 0 , 200 , 5 , 50 , 13.394757 , 61158.257667533646 , 64
102400 , 0 , 200 , 5 , 75 , 9.156001 , 89471.37511234435 , 64
102400 , 0 , 200 , 5 , 100 , 6.718205 , 121937.33296319479 , 64
102400 , 5 , 200 , 5 , 25 , 55.215235 , 14836.484894069545 , 64
102400 , 5 , 200 , 5 , 50 , 27.208559 , 30108.172946608454 , 64
102400 , 5 , 200 , 5 , 75 , 17.60648 , 46528.32366265148 , 64
102400 , 5 , 200 , 5 , 100 , 14.00767 , 58482.24579819485 , 64
102400 , 10 , 200 , 5 , 25 , 74.649506 , 10973.950718441458 , 64
102400 , 10 , 200 , 5 , 50 , 35.794258 , 22886.35233058889 , 64
102400 , 10 , 200 , 5 , 75 , 22.772491 , 35973.22752262807 , 64
102400 , 10 , 200 , 5 , 100 , 18.513604 , 44248.542855297106 , 64
102400 , 0 , 250 , 5 , 25 , 33.396693 , 24529.374809655554 , 64
102400 , 0 , 250 , 5 , 50 , 16.639192 , 49233.15987939799 , 64
102400 , 0 , 250 , 5 , 75 , 11.360264 , 72111.00023731843 , 64
102400 , 0 , 250 , 5 , 100 , 8.328971 , 98355.48713040304 , 64
102400 , 5 , 250 , 5 , 25 , 68.969576 , 11877.700973542305 , 64
102400 , 5 , 250 , 5 , 50 , 37.398528 , 21904.605443294455 , 64
102400 , 5 , 250 , 5 , 75 , 23.845668 , 34354.2483272014 , 64
102400 , 5 , 250 , 5 , 100 , 19.212229 , 42639.508408940994 , 64
102400 , 10 , 250 , 5 , 25 , 89.415077 , 9161.765861925054 , 64
102400 , 10 , 250 , 5 , 50 , 47.915712 , 17096.688451587655 , 64
102400 , 10 , 250 , 5 , 75 , 30.244867 , 27085.58777924201 , 64
102400 , 10 , 250 , 5 , 100 , 23.421994 , 34975.67286542725 , 64
