len, loss, latency, variance, mss, elapsed, bps, window
102400 , 0 , 0 , 5 , 25 , 15.967309 , 51304.82537790181 , 4
102400 , 0 , 0 , 5 , 25 , 2.999098 , 273148.7934038834 , 24
102400 , 0 , 0 , 5 , 25 , 1.881663 , 435359.57288845023 , 44
102400 , 0 , 0 , 5 , 25 , 1.518356 , 539530.9136987637 , 64
102400 , 0 , 0 , 5 , 50 , 7.761402 , 105547.94095190533 , 4
102400 , 0 , 0 , 5 , 50 , 1.630692 , 502363.4138145033 , 24
102400 , 0 , 0 , 5 , 50 , 0.932134 , 878843.5997399515 , 44
102400 , 0 , 0 , 5 , 50 , 0.653603 , 1253360.2201948278 , 64
102400 , 0 , 0 , 5 , 75 , 5.133799 , 159569.94031125878 , 4
102400 , 0 , 0 , 5 , 75 , 0.955116 , 857696.8661398197 , 24
102400 , 0 , 0 , 5 , 75 , 0.612404 , 1337679.0484712708 , 44
102400 , 0 , 0 , 5 , 75 , 0.502096 , 1631560.498390746 , 64
102400 , 0 , 0 , 5 , 100 , 4.139765 , 197885.62877361398 , 4
102400 , 0 , 0 , 5 , 100 , 0.790499 , 1036307.44630923 , 24
102400 , 0 , 0 , 5 , 100 , 0.457968 , 1788771.26786151 , 44
102400 , 0 , 0 , 5 , 100 , 0.376605 , 2175223.377278581 , 64
102400 , 5 , 0 , 5 , 25 , 79.554629 , 10297.326633249713 , 4
102400 , 5 , 0 , 5 , 25 , 34.119818 , 24009.506733007776 , 24
102400 , 5 , 0 , 5 , 25 , 22.683128 , 36114.94852032753 , 44
102400 , 5 , 0 , 5 , 25 , 17.058104 , 48024.094588706925 , 64
102400 , 5 , 0 , 5 , 50 , 45.807948 , 17883.35945543773 , 4
102400 , 5 , 0 , 5 , 50 , 16.105841 , 50863.534540046676 , 24
102400 , 5 , 0 , 5 , 50 , 9.908885 , 82673.27756856599 , 44
102400 , 5 , 0 , 5 , 50 , 7.806901 , 104932.8024013626 , 64
102400 , 5 , 0 , 5 , 75 , 28.08673 , 29166.79869817526 , 4
102400 , 5 , 0 , 5 , 75 , 11.069496 , 74005.17602608106 , 24
102400 , 5 , 0 , 5 , 75 , 7.403054 , 110657.03424559649 , 44
102400 , 5 , 0 , 5 , 75 , 6.829986 , 119941.6807003704 , 64
102400 , 5 , 0 , 5 , 100 , 22.531553 , 36357.90218277453 , 4
102400 , 5 , 0 , 5 , 100 , 8.30387 , 98652.79682846673 , 24
102400 , 5 , 0 , 5 , 100 , 6.733224 , 121665.34189268024 , 44
102400 , 5 , 0 , 5 , 100 , 4.401375 , 186123.65453977452 , 64
102400 , 10 , 0 , 5 , 25 , 150.043231 , 5459.759794162257 , 4
102400 , 10 , 0 , 5 , 25 , 54.663692 , 14986.181321232383 , 24
102400 , 10 , 0 , 5 , 25 , 35.12444 , 23322.791765505728 , 44
102400 , 10 , 0 , 5 , 25 , 26.422777 , 31003.55424412809 , 64
102400 , 10 , 0 , 5 , 50 , 69.55068 , 11778.461403971894 , 4
102400 , 10 , 0 , 5 , 50 , 25.414505 , 32233.56111008261 , 24
